uuid,name,legislature_name,slug
70286a75-669d-4137-bab8-33d7350e3aaf,Aliyu Wamakko,Senate,aliyu-wamakko
cf5aea30-b4fc-4eeb-b827-dd023e9ad0e6,BASSEY AKPAN,Senate,bassey-akpan
9612c093-eb94-41b7-a713-3ca82b7f1e98,Baba Garba,Senate,baba-garba
13721811-4357-419c-8ca7-8f1170b36f1a,Ben Murray-Bruce,Senate,ben-murray-bruce
a16ff2f2-0df2-4372-a2a1-50faddd04c0a,Benjamin Uwajumogu,Senate,benjamin-uwajumogu
1aec662e-0836-43d1-832a-0e65686766bb,FOSTER OGOLA,Senate,foster-ogola
4c8ec63d-76c5-4452-934e-4c67e672b9d5,GEORGE SEKIBO,Senate,george-sekibo
d9aa73bb-dea8-45c4-8eeb-0e66b5439e29,GODSWILL AKPABIO,Senate,godswill-akpabio
29a44bbd-0dc5-433a-85b1-d75ac81023ba,ISAH MISAU,Senate,isah-misau
30d9e31f-8113-423b-992b-124f97ea02aa,JOSEPH OGBA,Senate,joseph-ogba
f8a2b149-a5ae-43c2-a3de-249c8da9e5fe,MAGNUS ABE,Senate,magnus-abe
a4f78be5-607a-4663-9b3a-533464a962c1,NELSON EFFIONG,Senate,nelson-effiong
b3c68cc0-3a3e-4d47-8feb-bb6d75c4f343,ODUAH STELLA,Senate,oduah-stella
f842a937-4dd5-4011-aa52-4f025be06a74,OHUABUNWA MAO,Senate,ohuabunwa-mao
ec8587fd-11f3-48f1-a830-267b8a5ad524,OLAKA NWOGU,Senate,olaka-nwogu
fbe41710-70db-4640-b464-aa3b894031f9,ORDIA CLIFFORD,Senate,ordia-clifford
452c8d72-b078-40fd-8d0c-cfff8cb199fa,OSINAKACHUKWU IDEOZU,Senate,osinakachukwu-ideozu
af00a81c-21e0-49f9-b61b-e90b36fc8ba1,Ovie Omo-Agege,Senate,ovie-omo-agege
e4840a77-41c5-4818-b0e8-54676f004239,PETER NWABOSHI,Senate,peter-nwaboshi
96885e3b-9207-4db4-ab27-ceda4dff7d2e,SULEIMAN ADOKWE,Senate,suleiman-adokwe
f95eee1d-5f81-4813-8164-7e1cc908e878,Yusuf Yusuf,Senate,yusuf-yusuf
7e844f43-8e5a-4233-9c2b-b5a753523d91,DORATHY MATO,House of Representatives,dorathy-mato
4f6d21ca-bb6e-4d5a-bf4d-115b0f11fa7d,ADEMOLA ADELEKE,Senate,ademola-adeleke
9b735e24-5126-4436-bd98-044e8c78c9f3,Andrew Uchendu,Senate,andrew-uchendu
2c83eb76-563a-423d-ae96-7dca8f580854,Bauchi Tongo,House of Representatives,bauchi-tongo
521e0682-42a7-4396-8d40-0c78298db21f,MPIGI BARINADA,House of Representatives,mpigi-barinada
